"","Rk","Date","Tm","Opp","Result","Player","Dist","Good.","Blk.","Y","B","year","month","season"
"2018","19","2019-11-10","MIA","IND","W 16-12","Jason Sanders","48","Y","N",1,0,2019,11,2019
"2122","20","2019-11-10","MIA","IND","W 16-12","Jason Sanders","48","Y","N",1,0,2019,11,2019
"2220","21","2019-11-03","MIA","NYJ","W 26-18","Jason Sanders","49","N","N",0,0,2019,11,2019
"2318","22","2019-11-03","MIA","NYJ","W 26-18","Jason Sanders","26","Y","N",1,0,2019,11,2019
"2418","23","2019-10-13","MIA","WAS","L 16-17","Jason Sanders","39","Y","N",1,0,2019,10,2019
"2518","24","2019-09-29","MIA","LAC","L 10-30","Jason Sanders","50","N","N",0,0,2019,9,2019
"2617","25","2019-09-29","MIA","LAC","L 10-30","Jason Sanders","30","Y","N",1,0,2019,9,2019
"2717","26","2019-09-29","MIA","LAC","L 10-30","Jason Sanders","52","N","N",0,0,2019,9,2019
"2817","27","2019-09-22","MIA","DAL","L 6-31","Jason Sanders","22","Y","N",1,0,2019,9,2019
"2917","28","2019-09-22","MIA","DAL","L 6-31","Jason Sanders","47","N","N",0,0,2019,9,2019
"3016","29","2019-09-22","MIA","DAL","L 6-31","Jason Sanders","33","Y","N",1,0,2019,9,2019
"3119","30","2019-09-08","MIA","BAL","L 10-59","Jason Sanders","54","Y","N",1,0,2019,9,2019
"2103","1","2020-01-11","MIN","SFO","L 10-27","Dan Bailey","39","Y","N",1,0,2020,1,2019
"357","2","2020-01-05","MIN","NOR","W 26-20","Dan Bailey","43","Y","N",1,0,2020,1,2019
"422","3","2020-01-05","MIN","NOR","W 26-20","Dan Bailey","21","Y","N",1,0,2020,1,2019
"519","4","2019-12-29","MIN","CHI","L 19-21","Dan Bailey","38","Y","N",1,0,2019,12,2019
"619","5","2019-12-29","MIN","CHI","L 19-21","Dan Bailey","34","Y","N",1,0,2019,12,2019
"719","6","2019-12-29","MIN","CHI","L 19-21","Dan Bailey","37","Y","N",1,0,2019,12,2019
"819","7","2019-12-29","MIN","CHI","L 19-21","Dan Bailey","39","Y","N",1,0,2019,12,2019
"919","8","2019-12-23","MIN","GNB","L 10-23","Dan Bailey","23","Y","N",1,0,2019,12,2019
"1019","9","2019-12-15","MIN","LAC","W 39-10","Dan Bailey","44","Y","N",1,0,2019,12,2019
"1119","10","2019-12-15","MIN","LAC","W 39-10","Dan Bailey","27","Y","N",1,0,2019,12,2019
"1219","11","2019-12-15","MIN","LAC","W 39-10","Dan Bailey","26","Y","N",1,0,2019,12,2019
"1319","12","2019-12-15","MIN","LAC","W 39-10","Dan Bailey","38","Y","N",1,0,2019,12,2019
"1419","13","2019-12-08","MIN","DET","W 20-7","Dan Bailey","27","Y","N",1,0,2019,12,2019
"1519","14","2019-12-08","MIN","DET","W 20-7","Dan Bailey","50","Y","N",1,0,2019,12,2019
"1619","15","2019-12-02","MIN","SEA","L 30-37","Dan Bailey","47","Y","N",1,0,2019,12,2019
"1719","16","2019-11-10","MIN","DAL","W 28-24","Dan Bailey","27","Y","N",1,0,2019,11,2019
"1819","17","2019-11-10","MIN","DAL","W 28-24","Dan Bailey","26","Y","N",1,0,2019,11,2019
"1919","18","2019-11-03","MIN","KAN","L 23-26","Dan Bailey","29","Y","N",1,0,2019,11,2019
"2019","19","2019-10-24","MIN","WAS","W 19-9","Dan Bailey","40","Y","N",1,0,2019,10,2019
"2123","20","2019-10-24","MIN","WAS","W 19-9","Dan Bailey","50","Y","N",1,0,2019,10,2019
"2221","21","2019-10-24","MIN","WAS","W 19-9","Dan Bailey","27","Y","N",1,0,2019,10,2019
"2319","22","2019-10-24","MIN","WAS","W 19-9","Dan Bailey","29","Y","N",1,0,2019,10,2019
"2419","23","2019-10-20","MIN","DET","W 42-30","Dan Bailey","45","N","N",0,0,2019,10,2019
"2519","24","2019-10-13","MIN","PHI","W 38-20","Dan Bailey","39","Y","N",1,0,2019,10,2019
"2618","25","2019-10-06","MIN","NYG","W 28-10","Dan Bailey","48","Y","N",1,0,2019,10,2019
"2718","26","2019-10-06","MIN","NYG","W 28-10","Dan Bailey","45","Y","N",1,0,2019,10,2019
"2818","27","2019-10-06","MIN","NYG","W 28-10","Dan Bailey","31","Y","N",1,0,2019,10,2019
"2918","28","2019-10-06","MIN","NYG","W 28-10","Dan Bailey","32","Y","N",1,0,2019,10,2019
"3017","29","2019-09-22","MIN","OAK","W 34-14","Dan Bailey","50","Y","N",1,0,2019,9,2019
"3120","30","2019-09-22","MIN","OAK","W 34-14","Dan Bailey","24","Y","N",1,0,2019,9,2019
"3216","31","2019-09-15","MIN","GNB","L 16-21","Dan Bailey","47","N","N",0,0,2019,9,2019
"3314","32","2019-09-15","MIN","GNB","L 16-21","Dan Bailey","31","Y","N",1,0,2019,9,2019
"2104","1","2020-01-04","NWE","TEN","L 13-20","Nick Folk","36","Y","N",1,0,2020,1,2019
"358","2","2020-01-04","NWE","TEN","L 13-20","Nick Folk","21","Y","N",1,0,2020,1,2019
"423","3","2019-12-29","NWE","MIA","L 24-27","Nick Folk","25","Y","N",1,0,2019,12,2019
"520","4","2019-12-21","NWE","BUF","W 24-17","Nick Folk","20","Y","N",1,0,2019,12,2019
"620","5","2019-12-21","NWE","BUF","W 24-17","Nick Folk","51","Y","N",1,0,2019,12,2019
"720","6","2019-12-21","NWE","BUF","W 24-17","Nick Folk","36","Y","N",1,0,2019,12,2019
"820","7","2019-12-15","NWE","CIN","W 34-13","Nick Folk","46","Y","N",1,0,2019,12,2019
"920","8","2019-12-15","NWE","CIN","W 34-13","Nick Folk","40","Y","N",1,0,2019,12,2019
"1020","9","2019-12-08","NWE","KAN","L 16-23","Nick Folk","41","N","Y",0,1,2019,12,2019
"1120","10","2019-12-08","NWE","KAN","L 16-23","Nick Folk","29","Y","N",1,0,2019,12,2019
"1220","11","2019-12-01","NWE","HOU","L 22-28","Kai Forbath","23","Y","N",1,0,2019,12,2019
"1320","12","2019-11-24","NWE","DAL","W 13-9","Nick Folk","42","Y","N",1,0,2019,11,2019
"1420","13","2019-11-24","NWE","DAL","W 13-9","Nick Folk","44","Y","N",1,0,2019,11,2019
"1520","14","2019-11-24","NWE","DAL","W 13-9","Nick Folk","48","N","N",0,0,2019,11,2019
"1620","15","2019-11-24","NWE","DAL","W 13-9","Nick Folk","46","N","N",0,0,2019,11,2019
"1720","16","2019-11-17","NWE","PHI","W 17-10","Nick Folk","35","Y","N",1,0,2019,11,2019
"1820","17","2019-11-17","NWE","PHI","W 17-10","Nick Folk","39","Y","N",1,0,2019,11,2019
"1920","18","2019-11-17","NWE","PHI","W 17-10","Nick Folk","22","Y","N",1,0,2019,11,2019
"2020","19","2019-11-03","NWE","BAL","L 20-37","Nick Folk","22","Y","N",1,0,2019,11,2019
"2124","20","2019-11-03","NWE","BAL","L 20-37","Nick Folk","19","Y","N",1,0,2019,11,2019
"2222","21","2019-10-27","NWE","CLE","W 27-13","Mike Nugent","29","N","Y",0,1,2019,10,2019
"2320","22","2019-10-27","NWE","CLE","W 27-13","Mike Nugent","34","N","N",0,0,2019,10,2019
"2420","23","2019-10-27","NWE","CLE","W 27-13","Mike Nugent","20","Y","N",1,0,2019,10,2019
"2520","24","2019-10-27","NWE","CLE","W 27-13","Mike Nugent","29","Y","N",1,0,2019,10,2019
"2619","25","2019-10-21","NWE","NYJ","W 33-0","Mike Nugent","34","Y","N",1,0,2019,10,2019
"2719","26","2019-10-10","NWE","NYG","W 35-14","Mike Nugent","40","N","N",0,0,2019,10,2019
"2819","27","2019-10-06","NWE","WAS","W 33-7","Mike Nugent","37","Y","N",1,0,2019,10,2019
"2919","28","2019-10-06","NWE","WAS","W 33-7","Mike Nugent","23","Y","N",1,0,2019,10,2019
"3018","29","2019-09-29","NWE","BUF","W 16-10","Stephen Gostkowski","23","Y","N",1,0,2019,9,2019
"3121","30","2019-09-22","NWE","NYJ","W 30-14","Stephen Gostkowski","37","Y","N",1,0,2019,9,2019
"3217","31","2019-09-15","NWE","MIA","W 43-0","Stephen Gostkowski","28","Y","N",1,0,2019,9,2019
"3315","32","2019-09-15","NWE","MIA","W 43-0","Stephen Gostkowski","48","N","N",0,0,2019,9,2019
"3410","33","2019-09-08","NWE","PIT","W 33-3","Stephen Gostkowski","25","Y","N",1,0,2019,9,2019
"359","34","2019-09-08","NWE","PIT","W 33-3","Stephen Gostkowski","35","Y","N",1,0,2019,9,2019
"364","35","2019-09-08","NWE","PIT","W 33-3","Stephen Gostkowski","41","Y","N",1,0,2019,9,2019
"373","36","2019-09-08","NWE","PIT","W 33-3","Stephen Gostkowski","39","Y","N",1,0,2019,9,2019
"2105","1","2020-01-05","NOR","MIN","L 20-26","Wil Lutz","43","N","N",0,0,2020,1,2019
"360","2","2020-01-05","NOR","MIN","L 20-26","Wil Lutz","29","Y","N",1,0,2020,1,2019
"424","3","2020-01-05","NOR","MIN","L 20-26","Wil Lutz","49","Y","N",1,0,2020,1,2019
"521","4","2019-12-22","NOR","TEN","W 38-28","Wil Lutz","47","Y","N",1,0,2019,12,2019
"621","5","2019-12-16","NOR","IND","W 34-7","Wil Lutz","26","Y","N",1,0,2019,12,2019
"721","6","2019-12-16","NOR","IND","W 34-7","Wil Lutz","33","Y","N",1,0,2019,12,2019
"821","7","2019-12-08","NOR","SFO","L 46-48","Wil Lutz","48","Y","N",1,0,2019,12,2019
"921","8","2019-12-08","NOR","SFO","L 46-48","Wil Lutz","55","Y","N",1,0,2019,12,2019
"1021","9","2019-11-28","NOR","ATL","W 26-18","Wil Lutz","42","Y","N",1,0,2019,11,2019
"1121","10","2019-11-28","NOR","ATL","W 26-18","Wil Lutz","47","Y","N",1,0,2019,11,2019
"1221","11","2019-11-28","NOR","ATL","W 26-18","Wil Lutz","45","Y","N",1,0,2019,11,2019
"1321","12","2019-11-28","NOR","ATL","W 26-18","Wil Lutz","22","Y","N",1,0,2019,11,2019
"1421","13","2019-11-24","NOR","CAR","W 34-31","Wil Lutz","33","Y","N",1,0,2019,11,2019
"1521","14","2019-11-24","NOR","CAR","W 34-31","Wil Lutz","41","Y","N",1,0,2019,11,2019
"1621","15","2019-11-17","NOR","TAM","W 34-17","Wil Lutz","26","Y","N",1,0,2019,11,2019
"1721","16","2019-11-17","NOR","TAM","W 34-17","Wil Lutz","44","Y","N",1,0,2019,11,2019
"1821","17","2019-11-10","NOR","ATL","L 9-26","Wil Lutz","47","Y","N",1,0,2019,11,2019
"1921","18","2019-11-10","NOR","ATL","L 9-26","Wil Lutz","29","Y","N",1,0,2019,11,2019
"2021","19","2019-11-10","NOR","ATL","L 9-26","Wil Lutz","28","Y","N",1,0,2019,11,2019
"2125","20","2019-10-27","NOR","ARI","W 31-9","Wil Lutz","47","N","N",0,0,2019,10,2019
"2223","21","2019-10-27","NOR","ARI","W 31-9","Wil Lutz","26","Y","N",1,0,2019,10,2019
"2321","22","2019-10-20","NOR","CHI","W 36-25","Wil Lutz","52","N","N",0,0,2019,10,2019
"2421","23","2019-10-20","NOR","CHI","W 36-25","Wil Lutz","42","N","N",0,0,2019,10,2019
"2521","24","2019-10-20","NOR","CHI","W 36-25","Wil Lutz","30","Y","N",1,0,2019,10,2019
"2620","25","2019-10-20","NOR","CHI","W 36-25","Wil Lutz","39","Y","N",1,0,2019,10,2019
"2720","26","2019-10-13","NOR","JAX","W 13-6","Wil Lutz","21","Y","N",1,0,2019,10,2019
"2820","27","2019-10-13","NOR","JAX","W 13-6","Wil Lutz","47","Y","N",1,0,2019,10,2019
"2920","28","2019-10-06","NOR","TAM","W 31-24","Wil Lutz","29","Y","N",1,0,2019,10,2019
"3019","29","2019-09-29","NOR","DAL","W 12-10","Wil Lutz","42","Y","N",1,0,2019,9,2019
"3122","30","2019-09-29","NOR","DAL","W 12-10","Wil Lutz","26","Y","N",1,0,2019,9,2019
"3218","31","2019-09-29","NOR","DAL","W 12-10","Wil Lutz","40","Y","N",1,0,2019,9,2019
"3316","32","2019-09-29","NOR","DAL","W 12-10","Wil Lutz","19","Y","N",1,0,2019,9,2019
"3411","33","2019-09-15","NOR","LAR","L 9-27","Wil Lutz","52","Y","N",1,0,2019,9,2019
"3510","34","2019-09-15","NOR","LAR","L 9-27","Wil Lutz","34","Y","N",1,0,2019,9,2019
"365","35","2019-09-15","NOR","LAR","L 9-27","Wil Lutz","42","Y","N",1,0,2019,9,2019
"374","36","2019-09-09","NOR","HOU","W 30-28","Wil Lutz","32","Y","N",1,0,2019,9,2019
"383","37","2019-09-09","NOR","HOU","W 30-28","Wil Lutz","47","Y","N",1,0,2019,9,2019
"393","38","2019-09-09","NOR","HOU","W 30-28","Wil Lutz","56","N","N",0,0,2019,9,2019
"403","39","2019-09-09","NOR","HOU","W 30-28","Wil Lutz","58","Y","N",1,0,2019,9,2019
"2106","1","2019-12-29","NYG","PHI","L 17-34","Aldrick Rosas","37","Y","N",1,0,2019,12,2019
"366","2","2019-12-22","NYG","WAS","W 41-35","Aldrick Rosas","53","N","N",0,0,2019,12,2019
"425","3","2019-12-09","NYG","PHI","L 17-23","Aldrick Rosas","34","Y","N",1,0,2019,12,2019
"522","4","2019-12-01","NYG","GNB","L 13-31","Aldrick Rosas","45","Y","N",1,0,2019,12,2019
"622","5","2019-12-01","NYG","GNB","L 13-31","Aldrick Rosas","27","Y","N",1,0,2019,12,2019
"722","6","2019-11-24","NYG","CHI","L 14-19","Aldrick Rosas","42","N","N",0,0,2019,11,2019
"822","7","2019-11-24","NYG","CHI","L 14-19","Aldrick Rosas","43","N","N",0,0,2019,11,2019
"922","8","2019-11-04","NYG","DAL","L 18-37","Aldrick Rosas","26","Y","N",1,0,2019,11,2019
"1022","9","2019-11-04","NYG","DAL","L 18-37","Aldrick Rosas","25","Y","N",1,0,2019,11,2019
"1122","10","2019-11-04","NYG","DAL","L 18-37","Aldrick Rosas","29","Y","N",1,0,2019,11,2019
"1222","11","2019-11-04","NYG","DAL","L 18-37","Aldrick Rosas","21","Y","N",1,0,2019,11,2019
"1322","12","2019-10-20","NYG","ARI","L 21-27","Aldrick Rosas","37","N","N",0,0,2019,10,2019
"1422","13","2019-10-06","NYG","MIN","L 10-28","Aldrick Rosas","32","Y","N",1,0,2019,10,2019
"1522","14","2019-09-29","NYG","WAS","W 24-3","Aldrick Rosas","30","Y","N",1,0,2019,9,2019
"1622","15","2019-09-22","NYG","TAM","W 32-31","Aldrick Rosas","36","Y","N",1,0,2019,9,2019
"1722","16","2019-09-15","NYG","BUF","L 14-28","Aldrick Rosas","48","N","N",0,0,2019,9,2019
"1822","17","2019-09-08","NYG","DAL","L 17-35","Aldrick Rosas","28","Y","N",1,0,2019,9,2019
"2107","1","2019-12-29","NYJ","BUF","W 13-6","Sam Ficken","51","N","N",0,0,2019,12,2019
"367","2","2019-12-29","NYJ","BUF","W 13-6","Sam Ficken","34","N","N",0,0,2019,12,2019
"426","3","2019-12-29","NYJ","BUF","W 13-6","Sam Ficken","30","Y","N",1,0,2019,12,2019
"523","4","2019-12-29","NYJ","BUF","W 13-6","Sam Ficken","47","Y","N",1,0,2019,12,2019
"623","5","2019-12-22","NYJ","PIT","W 16-10","Sam Ficken","54","Y","N",1,0,2019,12,2019
"723","6","2019-12-22","NYJ","PIT","W 16-10","Sam Ficken","42","Y","N",1,0,2019,12,2019
"823","7","2019-12-22","NYJ","PIT","W 16-10","Sam Ficken","37","Y","N",1,0,2019,12,2019
"923","8","2019-12-12","NYJ","BAL","L 21-42","Sam Ficken","49","N","Y",0,1,2019,12,2019
"1023","9","2019-12-08","NYJ","MIA","W 22-21","Sam Ficken","42","Y","N",1,0,2019,12,2019
"1123","10","2019-12-08","NYJ","MIA","W 22-21","Sam Ficken","37","Y","N",1,0,2019,12,2019
"1223","11","2019-12-08","NYJ","MIA","W 22-21","Sam Ficken","44","Y","N",1,0,2019,12,2019
"1323","12","2019-12-01","NYJ","CIN","L 6-22","Sam Ficken","39","Y","N",1,0,2019,12,2019
"1423","13","2019-12-01","NYJ","CIN","L 6-22","Sam Ficken","42","Y","N",1,0,2019,12,2019
"1523","14","2019-11-24","NYJ","OAK","W 34-3","Sam Ficken","35","Y","N",1,0,2019,11,2019
"1623","15","2019-11-24","NYJ","OAK","W 34-3","Sam Ficken","24","Y","N",1,0,2019,11,2019
"1723","16","2019-11-24","NYJ","OAK","W 34-3","Sam Ficken","48","N","N",0,0,2019,11,2019
"1823","17","2019-11-17","NYJ","WAS","W 34-17","Sam Ficken","49","N","N",0,0,2019,11,2019
"1922","18","2019-11-10","NYJ","NYG","W 34-27","Sam Ficken","54","N","N",0,0,2019,11,2019
"2022","19","2019-11-10","NYJ","NYG","W 34-27","Sam Ficken","35","Y","N",1,0,2019,11,2019
"2126","20","2019-11-10","NYJ","NYG","W 34-27","Sam Ficken","53","Y","N",1,0,2019,11,2019
"2224","21","2019-11-03","NYJ","MIA","L 18-26","Sam Ficken","52","Y","N",1,0,2019,11,2019
"2322","22","2019-11-03","NYJ","MIA","L 18-26","Sam Ficken","29","Y","N",1,0,2019,11,2019
"2422","23","2019-11-03","NYJ","MIA","L 18-26","Sam Ficken","49","N","N",0,0,2019,11,2019
"2522","24","2019-11-03","NYJ","MIA","L 18-26","Sam Ficken","40","Y","N",1,0,2019,11,2019
"2621","25","2019-10-13","NYJ","DAL","W 24-22","Sam Ficken","38","Y","N",1,0,2019,10,2019
"2721","26","2019-10-06","NYJ","PHI","L 6-31","Sam Ficken","55","N","N",0,0,2019,10,2019
"2821","27","2019-09-16","NYJ","CLE","L 3-23","Sam Ficken","46","Y","N",1,0,2019,9,2019
"2921","28","2019-09-08","NYJ","BUF","L 16-17","Kaare Vedvik","45","N","N",0,0,2019,9,2019
"2108","1","2019-12-29","OAK","DEN","L 15-16","Daniel Carlson","33","Y","N",1,0,2019,12,2019
"368","2","2019-12-29","OAK","DEN","L 15-16","Daniel Carlson","23","Y","N",1,0,2019,12,2019
"427","3","2019-12-29","OAK","DEN","L 15-16","Daniel Carlson","28","Y","N",1,0,2019,12,2019
"524","4","2019-12-29","OAK","DEN","L 15-16","Daniel Carlson","39","N","N",0,0,2019,12,2019
"624","5","2019-12-22","OAK","LAC","W 24-17","Daniel Carlson","48","Y","N",1,0,2019,12,2019
"724","6","2019-12-15","OAK","JAX","L 16-20","Daniel Carlson","34","Y","N",1,0,2019,12,2019
"824","7","2019-12-15","OAK","JAX","L 16-20","Daniel Carlson","45","N","N",0,0,2019,12,2019
"924","8","2019-12-15","OAK","JAX","L 16-20","Daniel Carlson","33","Y","N",1,0,2019,12,2019
"1024","9","2019-12-15","OAK","JAX","L 16-20","Daniel Carlson","27","Y","N",1,0,2019,12,2019
"1124","10","2019-12-01","OAK","KAN","L 9-40","Daniel Carlson","34","Y","N",1,0,2019,12,2019
"1224","11","2019-12-01","OAK","KAN","L 9-40","Daniel Carlson","44","N","N",0,0,2019,12,2019
"1324","12","2019-11-24","OAK","NYJ","L 3-34","Daniel Carlson","48","Y","N",1,0,2019,11,2019
"1424","13","2019-11-24","OAK","NYJ","L 3-34","Daniel Carlson","43","N","N",0,0,2019,11,2019
"1524","14","2019-11-17","OAK","CIN","W 17-10","Daniel Carlson","20","Y","N",1,0,2019,11,2019
"1624","15","2019-11-07","OAK","LAC","W 26-24","Daniel Carlson","22","Y","N",1,0,2019,11,2019
"1724","16","2019-11-07","OAK","LAC","W 26-24","Daniel Carlson","40","Y","N",1,0,2019,11,2019
"1824","17","2019-11-07","OAK","LAC","W 26-24","Daniel Carlson","53","N","N",0,0,2019,11,2019
"1923","18","2019-11-03","OAK","DET","W 31-24","Daniel Carlson","45","N","N",0,0,2019,11,2019
"2023","19","2019-11-03","OAK","DET","W 31-24","Daniel Carlson","32","Y","N",1,0,2019,11,2019
"2127","20","2019-10-27","OAK","HOU","L 24-27","Daniel Carlson","44","Y","N",1,0,2019,10,2019
"2225","21","2019-10-20","OAK","GNB","L 24-42","Daniel Carlson","45","Y","N",1,0,2019,10,2019
"2323","22","2019-10-06","OAK","CHI","W 24-21","Daniel Carlson","41","Y","N",1,0,2019,10,2019
"2423","23","2019-09-29","OAK","IND","W 31-24","Daniel Carlson","26","Y","N",1,0,2019,9,2019
"2523","24","2019-09-22","OAK","MIN","L 14-34","Daniel Carlson","51","N","N",0,0,2019,9,2019
"2622","25","2019-09-15","OAK","KAN","L 10-28","Daniel Carlson","29","Y","N",1,0,2019,9,2019
"2722","26","2019-09-09","OAK","DEN","W 24-16","Daniel Carlson","29","Y","N",1,0,2019,9,2019
"2109","1","2020-01-05","PHI","SEA","L 9-17","Jake Elliott","46","Y","N",1,0,2020,1,2019
"369","2","2020-01-05","PHI","SEA","L 9-17","Jake Elliott","38","Y","N",1,0,2020,1,2019
"428","3","2020-01-05","PHI","SEA","L 9-17","Jake Elliott","26","Y","N",1,0,2020,1,2019
"525","4","2019-12-29","PHI","NYG","W 34-17","Jake Elliott","31","Y","N",1,0,2019,12,2019
"625","5","2019-12-29","PHI","NYG","W 34-17","Jake Elliott","50","Y","N",1,0,2019,12,2019
"725","6","2019-12-22","PHI","DAL","W 17-9","Jake Elliott","36","Y","N",1,0,2019,12,2019
"825","7","2019-12-22","PHI","DAL","W 17-9","Jake Elliott","55","N","N",0,0,2019,12,2019
"925","8","2019-12-22","PHI","DAL","W 17-9","Jake Elliott","53","N","N",0,0,2019,12,2019
"1025","9","2019-12-15","PHI","WAS","W 37-27","Jake Elliott","25","Y","N",1,0,2019,12,2019
"1125","10","2019-12-09","PHI","NYG","W 23-17","Jake Elliott","34","Y","N",1,0,2019,12,2019
"1225","11","2019-12-09","PHI","NYG","W 23-17","Jake Elliott","47","N","N",0,0,2019,12,2019
"1325","12","2019-12-01","PHI","MIA","L 31-37","Jake Elliott","49","N","N",0,0,2019,12,2019
"1425","13","2019-12-01","PHI","MIA","L 31-37","Jake Elliott","43","Y","N",1,0,2019,12,2019
"1525","14","2019-12-01","PHI","MIA","L 31-37","Jake Elliott","37","Y","N",1,0,2019,12,2019
"1625","15","2019-12-01","PHI","MIA","L 31-37","Jake Elliott","48","Y","N",1,0,2019,12,2019
"1725","16","2019-11-24","PHI","SEA","L 9-17","Jake Elliott","28","Y","N",1,0,2019,11,2019
